# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180108|08:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|09:00|0.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|10:00|3.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|11:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|12:00|5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|13:00|7.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|14:00|10.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|15:00|14.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|16:00|9.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|17:00|6.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|18:00|6.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|19:00|11.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|20:00|10.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|21:00|12.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|22:00|11.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|23:00|13.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|00:00|14.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|01:00|10.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|02:00|10.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|03:00|7.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|04:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|05:00|2.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|06:00|3.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|07:00|6.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|08:00|6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|09:00|4.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|10:00|6.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|11:00|6.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180109|12:00|4.7|||||||||||||||
